"FULL_family_count","closure_count","equivalence_valid","instance_id","panel","reason"
"1","2","True","B_o008_r01308","B","closure_count>1"
"1","2","True","B_o008_r01313","B","closure_count>1"
"1","2","True","B_o008_r01314","B","closure_count>1"
"1","2","True","B_o009_r01327","B","closure_count>1"
"1","2","True","B_o009_r01328","B","closure_count>1"
"1","2","True","B_o009_r01351","B","closure_count>1"
"1","2","True","B_o009_r01352","B","closure_count>1"
"1","2","True","B_o009_r01375","B","closure_count>1"
"1","2","True","B_o009_r01376","B","closure_count>1"
"1","2","True","B_o009_r01377","B","closure_count>1"
"1","2","True","B_o009_r01378","B","closure_count>1"
"1","2","True","B_o009_r01379","B","closure_count>1"
"1","2","True","B_o009_r01380","B","closure_count>1"
"1","2","True","B_o009_r01397","B","closure_count>1"
"1","2","True","B_o009_r01398","B","closure_count>1"
"1","3","True","B_o009_r01403","B","closure_count>1"
"1","3","True","B_o009_r01404","B","closure_count>1"
"1","3","True","B_o009_r01409","B","closure_count>1"
"1","3","True","B_o009_r01410","B","closure_count>1"
"1","2","True","B_o009_r01415","B","closure_count>1"
"1","2","True","B_o009_r01416","B","closure_count>1"
"1","2","True","B_o009_r01421","B","closure_count>1"
"1","2","True","B_o009_r01422","B","closure_count>1"
"1","2","True","B_o009_r01427","B","closure_count>1"
"1","2","True","B_o009_r01428","B","closure_count>1"
"1","2","True","B_o009_r01433","B","closure_count>1"
"1","2","True","B_o009_r01434","B","closure_count>1"
"1","2","True","B_o010_r01447","B","closure_count>1"
"1","2","True","B_o010_r01448","B","closure_count>1"
"1","2","True","B_o010_r01471","B","closure_count>1"
"1","2","True","B_o010_r01472","B","closure_count>1"
"1","2","True","B_o010_r01495","B","closure_count>1"
"1","2","True","B_o010_r01496","B","closure_count>1"
"1","2","True","B_o010_r01497","B","closure_count>1"
"1","2","True","B_o010_r01498","B","closure_count>1"
"1","2","True","B_o010_r01499","B","closure_count>1"
"1","2","True","B_o010_r01500","B","closure_count>1"
"1","2","True","B_o010_r01531","B","closure_count>1"
"1","2","True","B_o010_r01532","B","closure_count>1"
"1","2","True","B_o010_r01533","B","closure_count>1"
"1","2","True","B_o010_r01534","B","closure_count>1"
"1","3","True","B_o010_r01535","B","closure_count>1"
"1","3","True","B_o010_r01536","B","closure_count>1"
"1","2","True","B_o010_r01537","B","closure_count>1"
"1","2","True","B_o010_r01538","B","closure_count>1"
"1","2","True","B_o010_r01539","B","closure_count>1"
"1","2","True","B_o010_r01540","B","closure_count>1"
"1","2","True","B_o010_r01541","B","closure_count>1"
"1","2","True","B_o010_r01542","B","closure_count>1"
"1","2","True","B_o010_r01543","B","closure_count>1"
"1","2","True","B_o010_r01544","B","closure_count>1"
"1","2","True","B_o010_r01545","B","closure_count>1"
"1","2","True","B_o010_r01546","B","closure_count>1"
"1","2","True","B_o010_r01547","B","closure_count>1"
"1","2","True","B_o010_r01548","B","closure_count>1"
"1","2","True","B_o010_r01549","B","closure_count>1"
"1","2","True","B_o010_r01550","B","closure_count>1"
"1","2","True","B_o010_r01551","B","closure_count>1"
"1","2","True","B_o010_r01552","B","closure_count>1"
"1","2","True","B_o010_r01553","B","closure_count>1"
"1","2","True","B_o010_r01554","B","closure_count>1"
"1","5","True","B_o010_r01555","B","closure_count>1"
"1","5","True","B_o010_r01556","B","closure_count>1"
"1","5","True","B_o010_r01557","B","closure_count>1"
"1","5","True","B_o010_r01558","B","closure_count>1"
"1","6","True","B_o010_r01559","B","closure_count>1"
"1","6","True","B_o010_r01560","B","closure_count>1"
"1","2","True","B_o011_r01567","B","closure_count>1"
"1","2","True","B_o011_r01568","B","closure_count>1"
"1","2","True","B_o011_r01591","B","closure_count>1"
"1","2","True","B_o011_r01592","B","closure_count>1"
"1","2","True","B_o011_r01615","B","closure_count>1"
"1","2","True","B_o011_r01616","B","closure_count>1"
"1","2","True","B_o011_r01617","B","closure_count>1"
"1","2","True","B_o011_r01618","B","closure_count>1"
"1","2","True","B_o011_r01619","B","closure_count>1"
"1","2","True","B_o011_r01620","B","closure_count>1"
"1","2","True","B_o011_r01651","B","closure_count>1"
"1","2","True","B_o011_r01652","B","closure_count>1"
"1","2","True","B_o011_r01653","B","closure_count>1"
"1","2","True","B_o011_r01654","B","closure_count>1"
"1","3","True","B_o011_r01655","B","closure_count>1"
"1","3","True","B_o011_r01656","B","closure_count>1"
"1","2","True","B_o011_r01675","B","closure_count>1"
"1","2","True","B_o011_r01676","B","closure_count>1"
"1","2","True","B_o011_r01677","B","closure_count>1"
"1","2","True","B_o011_r01678","B","closure_count>1"
"1","2","True","B_o011_r01679","B","closure_count>1"
"1","2","True","B_o011_r01680","B","closure_count>1"
"1","2","True","B_o012_r01687","B","closure_count>1"
"1","2","True","B_o012_r01688","B","closure_count>1"
"1","2","True","B_o012_r01711","B","closure_count>1"
"1","2","True","B_o012_r01712","B","closure_count>1"
"1","2","True","B_o012_r01735","B","closure_count>1"
"1","2","True","B_o012_r01736","B","closure_count>1"
"1","2","True","B_o012_r01737","B","closure_count>1"
"1","2","True","B_o012_r01738","B","closure_count>1"
"1","2","True","B_o012_r01739","B","closure_count>1"
"1","2","True","B_o012_r01740","B","closure_count>1"
"1","2","True","B_o012_r01771","B","closure_count>1"
"1","2","True","B_o012_r01772","B","closure_count>1"
"1","2","True","B_o012_r01773","B","closure_count>1"
"1","2","True","B_o012_r01774","B","closure_count>1"
"1","3","True","B_o012_r01775","B","closure_count>1"
"1","3","True","B_o012_r01776","B","closure_count>1"
"1","2","True","B_o012_r01795","B","closure_count>1"
"1","2","True","B_o012_r01796","B","closure_count>1"
"1","2","True","B_o012_r01797","B","closure_count>1"
"1","2","True","B_o012_r01798","B","closure_count>1"
"1","2","True","B_o012_r01799","B","closure_count>1"
"1","2","True","B_o012_r01800","B","closure_count>1"
"1","2","True","B_o013_r01807","B","closure_count>1"
"1","2","True","B_o013_r01808","B","closure_count>1"
