M_K_v2_class,M_K_v2_hash,class_id,d_by_rank,exclusion_reason,in_endpoint_class,instance_id,is_endpoint,pair_id,step
WP09C01158,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01158,"[3,15,1,5,17]",,True,B_o015_r02077,True,XP013,2
WP09C01158,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01158,"[3,15,1,5,17]",,True,B_o015_r02077,True,XP014,0
WP09C01117,28448d17a9ee2aae3393318e3f77410fcb03066404c47c26129e51097629530c,WP09C01158,"[1,15,3,5,17]",,False,B_o015_r02053,False,XP014,1
WP09C01158,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01158,"[1,15,5,3,17]",,True,B_o015_r02055,False,XP014,2
WP09C01158,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01158,"[3,15,5,1,17]",,True,B_o015_r02079,True,XP014,3
WP09C01626,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01626,"[1,13,7,3,15]",,True,B_o023_r03015,True,XP015,0
WP09C01566,28448d17a9ee2aae3393318e3f77410fcb03066404c47c26129e51097629530c,WP09C01626,"[1,13,3,7,15]",,False,B_o023_r03013,False,XP015,1
WP09C01626,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01626,"[3,13,1,7,15]",,True,B_o023_r03037,True,XP015,2
WP09C01626,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01626,"[3,13,1,7,15]",,True,B_o023_r03037,True,XP016,0
WP09C01566,28448d17a9ee2aae3393318e3f77410fcb03066404c47c26129e51097629530c,WP09C01626,"[1,13,3,7,15]",,False,B_o023_r03013,False,XP016,1
WP09C01626,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01626,"[1,13,7,3,15]",,True,B_o023_r03015,False,XP016,2
WP09C01626,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01626,"[3,13,7,1,15]",,True,B_o023_r03039,True,XP016,3
WP09C01703,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01703,"[1,13,7,3,17]",,True,B_o024_r03135,True,XP017,0
WP09C01643,28448d17a9ee2aae3393318e3f77410fcb03066404c47c26129e51097629530c,WP09C01703,"[1,13,3,7,17]",,False,B_o024_r03133,False,XP017,1
WP09C01703,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01703,"[3,13,1,7,17]",,True,B_o024_r03157,True,XP017,2
WP09C01703,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01703,"[3,13,1,7,17]",,True,B_o024_r03157,True,XP018,0
WP09C01643,28448d17a9ee2aae3393318e3f77410fcb03066404c47c26129e51097629530c,WP09C01703,"[1,13,3,7,17]",,False,B_o024_r03133,False,XP018,1
WP09C01703,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01703,"[1,13,7,3,17]",,True,B_o024_r03135,False,XP018,2
WP09C01703,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01703,"[3,13,7,1,17]",,True,B_o024_r03159,True,XP018,3
WP09C01713,1e8307aa98cbc4be53d2bf6e22ea9b2f766fa8b899537c998a14b4f4b1314315,WP09C01713,"[15,1,7,3,17]",,True,B_o025_r03315,True,XP019,0
WP09C01748,cd462c82d6197cea6734a319f9c9b22460a4671e7e6bef5c00adfcb3978be1e9,WP09C01713,"[15,1,3,7,17]",,False,B_o025_r03313,False,XP019,1
WP09C01713,1e8307aa98cbc4be53d2bf6e22ea9b2f766fa8b899537c998a14b4f4b1314315,WP09C01713,"[15,3,1,7,17]",,True,B_o025_r03319,True,XP019,2
WP09C01713,1e8307aa98cbc4be53d2bf6e22ea9b2f766fa8b899537c998a14b4f4b1314315,WP09C01713,"[15,3,1,7,17]",,True,B_o025_r03319,True,XP020,0
WP09C01748,cd462c82d6197cea6734a319f9c9b22460a4671e7e6bef5c00adfcb3978be1e9,WP09C01713,"[15,1,3,7,17]",,False,B_o025_r03313,False,XP020,1
WP09C01713,1e8307aa98cbc4be53d2bf6e22ea9b2f766fa8b899537c998a14b4f4b1314315,WP09C01713,"[15,1,7,3,17]",,True,B_o025_r03315,False,XP020,2
WP09C01713,1e8307aa98cbc4be53d2bf6e22ea9b2f766fa8b899537c998a14b4f4b1314315,WP09C01713,"[15,3,7,1,17]",,True,B_o025_r03321,True,XP020,3
WP09C01757,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01757,"[1,15,7,3,17]",,True,B_o025_r03255,True,XP021,0
WP09C01719,28448d17a9ee2aae3393318e3f77410fcb03066404c47c26129e51097629530c,WP09C01757,"[1,15,3,7,17]",,False,B_o025_r03253,False,XP021,1
WP09C01757,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01757,"[3,15,1,7,17]",,True,B_o025_r03277,True,XP021,2
WP09C01757,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01757,"[3,15,1,7,17]",,True,B_o025_r03277,True,XP022,0
WP09C01719,28448d17a9ee2aae3393318e3f77410fcb03066404c47c26129e51097629530c,WP09C01757,"[1,15,3,7,17]",,False,B_o025_r03253,False,XP022,1
WP09C01757,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01757,"[1,15,7,3,17]",,True,B_o025_r03255,False,XP022,2
WP09C01757,f700a6bb0c75e0acbbecceee1f6be8b5fc7e4337ed71b49f6999e4709f966f0c,WP09C01757,"[3,15,7,1,17]",,True,B_o025_r03279,True,XP022,3
