"EDD_C22","SPT_sufficient","TT_star","beta_optimal","instance_id","optimal_schedule_count","optimal_schedules","panel"
"True","True","6","True","A_o005_r00098","1","[[1,2,4,3]]","A"
"True","True","5","True","A_o005_r00099","1","[[1,3,2,4]]","A"
"True","True","10","True","A_o005_r00100","1","[[1,2,4,3]]","A"
"True","True","9","True","A_o005_r00101","1","[[1,3,2,4]]","A"
"True","True","4","True","A_o005_r00103","1","[[2,1,3,4]]","A"
"True","True","7","True","A_o005_r00104","1","[[2,1,4,3]]","A"
"True","True","7","True","A_o005_r00105","1","[[1,3,2,4]]","A"
"True","True","12","True","A_o005_r00106","2","[[1,2,4,3],[2,1,4,3]]","A"
"True","True","11","True","A_o005_r00107","1","[[1,3,2,4]]","A"
"True","True","7","True","A_o005_r00109","1","[[2,3,1,4]]","A"
"True","True","11","True","A_o005_r00110","1","[[2,1,4,3]]","A"
"True","True","8","True","A_o005_r00111","1","[[2,3,1,4]]","A"
"True","True","14","True","A_o005_r00113","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","14","True","A_o005_r00114","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","11","True","A_o005_r00115","1","[[2,3,1,4]]","A"
"True","True","12","True","A_o005_r00117","1","[[2,3,1,4]]","A"
"True","True","3","True","A_o006_r00121","1","[[1,2,3,4]]","A"
"True","True","4","True","A_o006_r00122","1","[[1,2,4,3]]","A"
"True","True","5","True","A_o006_r00123","1","[[1,3,2,4]]","A"
"True","True","9","True","A_o006_r00124","1","[[1,4,2,3]]","A"
"True","True","7","True","A_o006_r00125","1","[[1,3,2,4]]","A"
"True","True","10","True","A_o006_r00126","1","[[1,4,2,3]]","A"
"True","True","4","True","A_o006_r00127","1","[[2,1,3,4]]","A"
"True","True","5","True","A_o006_r00128","1","[[2,1,4,3]]","A"
"True","True","7","True","A_o006_r00129","1","[[1,3,2,4]]","A"
"True","True","11","True","A_o006_r00130","1","[[1,4,2,3]]","A"
"True","True","9","True","A_o006_r00131","1","[[1,3,2,4]]","A"
"True","True","12","True","A_o006_r00132","1","[[1,4,2,3]]","A"
"True","True","7","True","A_o006_r00133","1","[[2,3,1,4]]","A"
"True","True","8","True","A_o006_r00135","1","[[2,3,1,4]]","A"
"True","True","14","True","A_o006_r00137","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","14","True","A_o006_r00138","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","9","True","A_o006_r00139","1","[[2,3,1,4]]","A"
"True","True","10","True","A_o006_r00141","1","[[2,3,1,4]]","A"
"True","True","5","True","A_o007_r00145","1","[[1,2,3,4]]","A"
"True","True","7","True","A_o007_r00146","1","[[1,2,3,4]]","A"
"True","True","5","True","A_o007_r00147","1","[[1,3,2,4]]","A"
"True","True","9","True","A_o007_r00148","2","[[1,2,3,4],[1,3,2,4]]","A"
"True","True","7","True","A_o007_r00149","1","[[1,3,2,4]]","A"
"True","True","6","True","A_o007_r00151","1","[[2,1,3,4]]","A"
"True","True","8","True","A_o007_r00152","1","[[2,1,3,4]]","A"
"True","True","8","True","A_o007_r00153","1","[[3,1,2,4]]","A"
"True","True","13","True","A_o007_r00154","4","[[1,2,3,4],[1,3,2,4],[2,1,3,4],[3,1,2,4]]","A"
"True","True","10","True","A_o007_r00155","1","[[3,1,2,4]]","A"
"True","True","7","True","A_o007_r00157","1","[[2,3,1,4]]","A"
"True","True","10","True","A_o007_r00158","2","[[2,1,3,4],[2,3,1,4]]","A"
"True","True","9","True","A_o007_r00159","1","[[3,2,1,4]]","A"
"True","True","12","True","A_o007_r00161","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","9","True","A_o007_r00163","1","[[2,3,1,4]]","A"
"True","True","11","True","A_o007_r00165","1","[[3,2,1,4]]","A"
"True","True","3","True","A_o008_r00169","1","[[1,2,3,4]]","A"
"True","True","6","True","A_o008_r00170","1","[[1,2,4,3]]","A"
"True","True","3","True","A_o008_r00171","1","[[1,3,2,4]]","A"
"True","True","8","True","A_o008_r00172","1","[[1,2,4,3]]","A"
"True","True","7","True","A_o008_r00173","1","[[1,3,2,4]]","A"
"True","True","4","True","A_o008_r00175","1","[[2,1,3,4]]","A"
"True","True","7","True","A_o008_r00176","1","[[2,1,4,3]]","A"
"True","True","6","True","A_o008_r00177","1","[[3,1,2,4]]","A"
"True","True","12","True","A_o008_r00178","2","[[1,2,4,3],[2,1,4,3]]","A"
"True","True","10","True","A_o008_r00179","1","[[3,1,2,4]]","A"
"True","True","5","True","A_o008_r00181","1","[[2,3,1,4]]","A"
"True","True","9","True","A_o008_r00182","1","[[2,1,4,3]]","A"
"True","True","7","True","A_o008_r00183","1","[[3,2,1,4]]","A"
"True","True","12","True","A_o008_r00185","2","[[3,1,2,4],[3,2,1,4]]","A"
"True","True","9","True","A_o008_r00187","1","[[2,3,1,4]]","A"
