"M_K_v2_hash","M_K_v2_serialized","instance_id","panel"
"a6e8f755912a2036daa82da85871299b04f26a37ce5645bead34dd133f460b87","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,3],[1,4],[2,1],[2,3],[2,4],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[2,1],[1,3],[2,3],[1,4],[2,4],[3,4]],""S_beta"":[2,1,3,4],""BETA_STATUS"":[""STRICT_PASS"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[2]},{""prefix"":[2],""argmin"":[1]},{""prefix"":[2,1],""argmin"":[3]},{""prefix"":[2,1,3],""argmin"":[4]},{""prefix"":[2,1,3,4],""argmin"":[]}]}","A_o001_r00013","A"
"aac920d42175c0111569e218d1d5ddf9eb4a6fdca7cd09bee48ecf84934b5f94","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,3],[1,4],[2,1],[2,3],[2,4],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[2,1],[1,3],[2,3],[1,4],[2,4],[3,4]],""S_beta"":[2,1,3,4],""BETA_STATUS"":[""STRICT_PASS"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[2,[2],4,[1,3]],[3,[1,2],4,[3]],[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[2]},{""prefix"":[2],""argmin"":[1]},{""prefix"":[2,1],""argmin"":[3]},{""prefix"":[2,1,3],""argmin"":[4]},{""prefix"":[2,1,3,4],""argmin"":[]}]}","A_o001_r00014","A"
"eeeb84a07001d490acb2e41ca051999ffeb0b61ed70ee0adf318857cb3d31a80","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,4],[2,4],[3,1],[3,2],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[3,1],[1,2],[3,2],[1,4],[2,4],[3,4]],""S_beta"":[3,1,2,4],""BETA_STATUS"":[""STRICT_PASS"",""STRICT_PASS"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[2,[3],4,[1,2]],[3,[1,3],4,[2]],[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[3]},{""prefix"":[3],""argmin"":[1]},{""prefix"":[3,1],""argmin"":[2]},{""prefix"":[3,1,2],""argmin"":[4]},{""prefix"":[3,1,2,4],""argmin"":[]}]}","A_o001_r00017","A"
"0beceb8a734859055b448c96855ffeb6d985db8436505cef461a78c612cdd28c","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,2],[1,4],[2,4],[3,1],[3,2],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[3,1],[1,2],[3,2],[1,4],[2,4],[3,4]],""S_beta"":[3,1,2,4],""BETA_STATUS"":[""STRICT_PASS"",""STRICT_PASS"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[1,[],4,[1,2,3]],[2,[3],4,[1,2]],[3,[1,3],4,[2]],[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[3]},{""prefix"":[3],""argmin"":[1]},{""prefix"":[3,1],""argmin"":[2]},{""prefix"":[3,1,2],""argmin"":[4]},{""prefix"":[3,1,2,4],""argmin"":[]}]}","A_o001_r00018","A"
"65448a3712e365b672836df59c3aa18934d863ddd8f161aea2af9a503d4eead3","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,4],[2,1],[2,3],[2,4],[3,1],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[2,1],[3,1],[2,3],[1,4],[2,4],[3,4]],""S_beta"":[2,3,1,4],""BETA_STATUS"":[""STRICT_PASS"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[3,[2,3],4,[1]],[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[2]},{""prefix"":[2],""argmin"":[3]},{""prefix"":[2,3],""argmin"":[1]},{""prefix"":[2,3,1],""argmin"":[4]},{""prefix"":[2,3,1,4],""argmin"":[]}]}","A_o001_r00019","A"
"289004324b08c05289d088ece7659bf1589e11031e41c88b243d840ff4860908","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,4],[2,1],[2,3],[2,4],[3,1],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[2,1],[3,1],[2,3],[1,4],[2,4],[3,4]],""S_beta"":[2,3,1,4],""BETA_STATUS"":[""STRICT_PASS"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[2,[2],4,[1,3]],[3,[2,3],4,[1]],[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[2]},{""prefix"":[2],""argmin"":[3]},{""prefix"":[2,3],""argmin"":[1]},{""prefix"":[2,3,1],""argmin"":[4]},{""prefix"":[2,3,1,4],""argmin"":[]}]}","A_o001_r00020","A"
"65448a3712e365b672836df59c3aa18934d863ddd8f161aea2af9a503d4eead3","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,4],[2,1],[2,3],[2,4],[3,1],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[2,1],[3,1],[2,3],[1,4],[2,4],[3,4]],""S_beta"":[2,3,1,4],""BETA_STATUS"":[""STRICT_PASS"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[3,[2,3],4,[1]],[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[2]},{""prefix"":[2],""argmin"":[3]},{""prefix"":[2,3],""argmin"":[1]},{""prefix"":[2,3,1],""argmin"":[4]},{""prefix"":[2,3,1,4],""argmin"":[]}]}","A_o001_r00021","A"
"70363939d1c824af8b02413be2ce151ba315a7dcfeba65534e9d21662b30564b","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,4],[2,1],[2,3],[2,4],[3,1],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[2,1],[3,1],[2,3],[1,4],[2,4],[3,4]],""S_beta"":[2,3,1,4],""BETA_STATUS"":[""STRICT_PASS"",""NA"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[1,[],4,[1,2,3]],[2,[2],4,[1,3]],[3,[2,3],4,[1]],[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[2]},{""prefix"":[2],""argmin"":[3]},{""prefix"":[2,3],""argmin"":[1]},{""prefix"":[2,3,1],""argmin"":[4]},{""prefix"":[2,3,1,4],""argmin"":[]}]}","A_o001_r00022","A"
"06365582b5ac2955c7b7e93867da332245395da2260b283feb7ede45c19b8f32","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,4],[2,1],[2,4],[3,1],[3,2],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[2,1],[3,1],[3,2],[1,4],[2,4],[3,4]],""S_beta"":[3,2,1,4],""BETA_STATUS"":[""STRICT_PASS"",""STRICT_PASS"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[2,[3],4,[1,2]],[3,[2,3],4,[1]],[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[3]},{""prefix"":[3],""argmin"":[2]},{""prefix"":[3,2],""argmin"":[1]},{""prefix"":[3,2,1],""argmin"":[4]},{""prefix"":[3,2,1,4],""argmin"":[]}]}","A_o001_r00023","A"
"fb64c3c790757cecf7c382b67151b0b6fbc0ae766d60fb63a07558af34321611","{""schema"":""TARDY_BOUND_MK_V2"",""G123_edges"":[[1,4],[2,1],[2,4],[3,1],[3,2],[3,4]],""EDD_C22"":false,""GEOM4"":[false,false,false,false],""G_beta_edges"":[[2,1],[3,1],[3,2],[1,4],[2,4],[3,4]],""S_beta"":[3,2,1,4],""BETA_STATUS"":[""STRICT_PASS"",""STRICT_PASS"",""NA"",""NA""],""LAWLER_PARTITION_FAMILY"":[[1,[],4,[1,2,3]],[2,[3],4,[1,2]],[3,[2,3],4,[1]],[4,[1,2,3],4,[]]],""Q_exact"":[1,2,3,4],""h_key"":4,""T_MDD"":[{""prefix"":[],""argmin"":[3]},{""prefix"":[3],""argmin"":[2]},{""prefix"":[3,2],""argmin"":[1]},{""prefix"":[3,2,1],""argmin"":[4]},{""prefix"":[3,2,1,4],""argmin"":[]}]}","A_o001_r00024","A"
